20141123 20:21:23 DEBUG Partie: Debut initialisation
20141123 20:21:44 DEBUG Partie: Debut initialisation
20141123 20:21:44 TRACE Partie: Ajout plaque Rdd
20141123 20:21:44 TRACE Partie: Ajout plaque Bdd
20141123 20:21:44 TRACE Partie: Ajout plaque Jdd
20141123 20:21:44 TRACE Partie: Ajout plaque Ndd
20141123 20:22:09 DEBUG Partie: Debut initialisation
20141123 20:22:09 TRACE Partie: Ajout plaque Rdd
20141123 20:22:09 TRACE Partie: Ajout plaque Bdd
20141123 20:22:09 TRACE Partie: Ajout plaque Jdd
20141123 20:22:09 TRACE Partie: Ajout plaque Ndd
20141123 20:22:09 TRACE Partie: Ajout plaque Rdd
20141123 20:22:09 TRACE Partie: Ajout plaque Bdd
20141123 20:22:09 TRACE Partie: Ajout plaque Jdd
20141123 20:22:09 TRACE Partie: Ajout plaque Ndd
20141123 20:22:09 TRACE Partie: Ajout plaque Rdd
20141123 20:22:09 TRACE Partie: Ajout plaque Bdd
20141123 20:22:09 TRACE Partie: Ajout plaque Jdd
20141123 20:22:09 TRACE Partie: Ajout plaque Ndd
20141123 20:22:09 TRACE Partie: Ajout plaque Rdd
20141123 20:22:09 TRACE Partie: Ajout plaque Bdd
20141123 20:22:09 TRACE Partie: Ajout plaque Jdd
20141123 20:22:09 TRACE Partie: Ajout plaque Ndd
20141123 20:22:09 TRACE Partie: Ajout plaque Rdd
20141123 20:22:09 TRACE Partie: Ajout plaque Bdd
20141123 20:22:09 TRACE Partie: Ajout plaque Jdd
20141123 20:22:09 TRACE Partie: Ajout plaque Ndd
20141123 20:22:09 TRACE Partie: Ajout plaque Rdd
20141123 20:22:09 TRACE Partie: Ajout plaque Bdd
20141123 20:22:09 TRACE Partie: Ajout plaque Jdd
20141123 20:22:09 TRACE Partie: Ajout plaque Ndd
20141123 20:22:09 TRACE Partie: Ajout plaque Rdd
20141123 20:22:09 TRACE Partie: Ajout plaque Bdd
20141123 20:22:09 TRACE Partie: Ajout plaque Jdd
20141123 20:22:09 TRACE Partie: Ajout plaque Ndd
20141123 20:22:09 TRACE Partie: Ajout plaque Rdd
20141123 20:22:09 TRACE Partie: Ajout plaque Bdd
20141123 20:22:09 TRACE Partie: Ajout plaque Jdd
20141123 20:22:09 TRACE Partie: Ajout plaque Ndd
